timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714478830692,538,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,536,0,254
1714478830691,539,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,538,0,271
1714478830776,507,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,507,0,248
1714478830879,489,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,489,0,241
1714478830977,514,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,514,0,253
1714478831076,482,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,482,0,236
1714478831176,516,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,515,0,256
1714478831273,485,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,485,0,235
1714478831372,482,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,482,0,234
1714478831475,514,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,514,0,250
