timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714478684439,527,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,526,0,257
1714478684439,527,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,526,0,256
1714478684527,481,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,481,0,233
1714478684627,504,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,503,0,235
1714478684728,544,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,544,0,269
1714478684829,512,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,512,0,250
1714478684926,484,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,484,0,240
1714478685025,492,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,492,0,247
1714478685127,481,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,481,0,236
1714478685226,524,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,524,0,252
