timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714474788799,551,HTTP Request,200,,GETALL 1-1,text,true,,420,128,4,11,http://4.153.124.128:8099/api/get,548,0,262
1714474788800,554,HTTP Request,200,,GETBYID 2-2,text,true,,253,130,7,11,http://4.153.124.128:8099/api/get/1,554,0,261
1714474788799,554,HTTP Request,200,,GETBYID 2-1,text,true,,253,130,7,11,http://4.153.124.128:8099/api/get/1,554,0,261
1714474788875,487,HTTP Request,200,,GETBYID 2-3,text,true,,253,130,7,11,http://4.153.124.128:8099/api/get/1,486,0,237
1714474788873,517,HTTP Request,200,,GETALL 1-3,text,true,,420,128,3,8,http://4.153.124.128:8099/api/get,517,0,258
1714474788978,515,HTTP Request,200,,GETBYID 2-4,text,true,,253,130,6,9,http://4.153.124.128:8099/api/get/1,515,0,250
1714474789072,483,HTTP Request,200,,GETALL 1-5,text,true,,420,128,3,8,http://4.153.124.128:8099/api/get,482,0,234
1714474789079,522,HTTP Request,200,,GETBYID 2-5,text,true,,253,130,6,8,http://4.153.124.128:8099/api/get/1,522,0,260
1714474789176,510,HTTP Request,200,,GETBYID 2-6,text,true,,253,130,5,7,http://4.153.124.128:8099/api/get/1,509,0,249
1714474789279,486,HTTP Request,200,,GETBYID 2-7,text,true,,253,130,4,6,http://4.153.124.128:8099/api/get/1,485,0,236
1714474789275,514,HTTP Request,200,,GETALL 1-7,text,true,,420,128,2,5,http://4.153.124.128:8099/api/get,514,0,250
1714474789376,482,HTTP Request,200,,GETBYID 2-8,text,true,,253,130,3,4,http://4.153.124.128:8099/api/get/1,482,0,236
1714474789477,480,HTTP Request,200,,GETBYID 2-9,text,true,,253,130,2,3,http://4.153.124.128:8099/api/get/1,480,0,235
1714474789472,519,HTTP Request,200,,GETALL 1-9,text,true,,420,128,1,2,http://4.153.124.128:8099/api/get,519,0,252
1714474789576,479,HTTP Request,200,,GETBYID 2-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,479,0,233
