timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714480120669,549,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,548,0,273
1714480120669,549,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,548,0,264
1714480120746,488,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,487,0,239
1714480120848,488,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,488,0,236
1714480120948,515,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,515,0,252
1714480121046,518,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,518,0,254
1714480121146,485,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,484,0,237
1714480121241,518,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,518,0,255
1714480121340,513,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,512,0,249
1714480121441,483,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,483,0,235
