timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714479923788,1,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETALL 1-1,text,false,,1121,0,1,3,http:/,0,0,0
1714479923788,1,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-1,text,false,,1121,0,2,3,http:/,0,0,0
1714479923789,1,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-2,text,false,,1121,0,2,3,http:/,0,0,0
1714479923873,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETALL 1-3,text,false,,1121,0,1,2,http:/,0,0,0
1714479923878,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-3,text,false,,1121,0,1,1,http:/,0,0,0
1714479923978,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-4,text,false,,1121,0,1,1,http:/,0,0,0
1714479924071,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETALL 1-5,text,false,,1121,0,1,1,http:/,0,0,0
1714479924078,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-5,text,false,,1121,0,1,1,http:/,0,0,0
1714479924177,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-6,text,false,,1121,0,1,1,http:/,0,0,0
1714479924271,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETALL 1-7,text,false,,1121,0,1,1,http:/,0,0,0
1714479924276,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-7,text,false,,1121,0,1,1,http:/,0,0,0
1714479924376,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-8,text,false,,1121,0,1,1,http:/,0,0,0
1714479924469,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETALL 1-9,text,false,,1121,0,1,1,http:/,0,0,0
1714479924476,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-9,text,false,,1121,0,1,1,http:/,0,0,0
1714479924574,1,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,GETBYID 2-10,text,false,,1121,0,1,1,http:/,0,0,0
