timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714478535416,576,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,574,0,274
1714478535504,488,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,486,0,234
1714478535415,576,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,574,0,274
1714478535601,478,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,478,0,231
1714478535704,484,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,483,0,236
1714478535804,505,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,505,0,248
1714478535903,482,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,481,0,235
1714478536002,475,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,475,0,231
1714478536102,475,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,475,0,231
1714478536202,481,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,481,0,239
