timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714475161218,542,HTTP Request,200,,GETBYID 1-2,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,541,0,255
1714475161218,542,HTTP Request,200,,GETBYID 1-1,text,true,,253,130,7,7,http://4.153.124.128:8099/api/get/1,541,0,255
1714475161300,511,HTTP Request,200,,GETBYID 1-3,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,511,0,251
1714475161402,495,HTTP Request,200,,GETBYID 1-4,text,true,,253,130,6,6,http://4.153.124.128:8099/api/get/1,495,0,249
1714475161502,480,HTTP Request,200,,GETBYID 1-5,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,480,0,234
1714475161601,480,HTTP Request,200,,GETBYID 1-6,text,true,,253,130,5,5,http://4.153.124.128:8099/api/get/1,480,0,234
1714475161700,479,HTTP Request,200,,GETBYID 1-7,text,true,,253,130,4,4,http://4.153.124.128:8099/api/get/1,479,0,231
1714475161800,526,HTTP Request,200,,GETBYID 1-8,text,true,,253,130,3,3,http://4.153.124.128:8099/api/get/1,526,0,260
1714475161902,478,HTTP Request,200,,GETBYID 1-9,text,true,,253,130,2,2,http://4.153.124.128:8099/api/get/1,478,0,233
1714475162001,484,HTTP Request,200,,GETBYID 1-10,text,true,,253,130,1,1,http://4.153.124.128:8099/api/get/1,483,0,237
